ID,GamePSID,name,Publisher,ReleaseYear,ReleaseDate,Developer,Genre,Features,Size,Medium,Hardware,CompletionTime(Hours),is_Digital_game,is_Physical_game,OfficialWebsite
4522,3284,Sparkle Unleashed (PS4),10tons,2015.0,2015-06-03,10tons,Puzzle,PS Now,347.0,Digital only,,nan,0,0,http://www.10tons.com/Game/sparkle_unleashed.html
4523,9337,Sparklite,Merge Games,2019.0,2019-11-14,Red Blue Games,"Roguelite, Action-Adventure",,1157.12,Physical and Digital,,nan,0,0,https://www.mergegames.com/sparklite
4524,9336,Sparklite (EU),Merge Games,2019.0,2019-11-14,Red Blue Games,"Roguelite, Action-Adventure",,1157.12,Physical and Digital,,nan,0,0,https://www.mergegames.com/sparklite
4525,5806,Spartan,Sinister Cyclops Game Studio,2017.0,2017-08-23,Sinister Cyclops Game Studio,Platformer,,917.0,Digital only,,nan,0,0,http://sinistercyclops.com/
4526,10018,Spartan Fist,JanduSoft,2020.0,2020-02-28,Glass Bottom Games,"Roguelite, Action",,704.0,Digital only,,nan,0,0,https://spartanfist.com/
4527,11835,Spartan Fist (Asia),eastasiasoft,2021.0,2021-03-12,"Glass Bottom Games, JanduSoft","Roguelite, Action",,714.0,Digital only,,nan,0,0,https://www.eastasiasoft.com/games/Spartan-Fist
4528,10017,Spartan Fist (EU),JanduSoft,2020.0,2020-02-28,Glass Bottom Games,"Roguelite, Action",,537.0,Digital only,,nan,0,0,https://spartanfist.com/
4529,2875,Speakeasy,Gun Media,2014.0,2014-11-25,Super Soul,Fighting,,472.0,Digital only,,nan,0,0,
4530,2889,Speakeasy (EU),Gun Media,2014.0,2014-11-25,Super Soul,Fighting,,472.0,Digital only,,nan,0,0,
4531,11149,Speaking Simulator,Severed Press,2020.0,2020-11-18,Affable Games,Action,,1607.68,Digital only,,nan,0,0,https://www.affablegames.com/
4532,5394,Spear of Destiny The Kaiseki,LGS Productions,2017.0,2017-04-18,LGS Productions,Action,,1116.16,Digital only,,nan,0,0,
4533,5547,Special Delivery,Meerkat Gaming,2017.0,2017-06-06,Meerkat Gaming,Action,,624.0,Digital only,"PlayStation VR Compatible, PlayStation Move Compatible",nan,0,0,http://specialdeliveryvr.com/
4534,5796,Special Delivery (EU),Meerkat Gaming,2017.0,2017-08-16,Meerkat Gaming,Action,,639.0,Digital only,"PlayStation VR Compatible, PlayStation Move Compatible",nan,0,0,http://specialdeliveryvr.com/
4535,12732,Spectrewoods,The Voices Games,2021.0,2021-07-10,The Voices Games,Third Person Shooter,,NA,Digital only,,0-1,0,0,
4536,12733,Spectrewoods (EU),The Voices Games,2021.0,2021-07-10,The Voices Games,Third Person Shooter,,NA,Digital only,,0-1,0,0,
4537,6936,Spectrum,,2018.0,2018-08-21,3D Avenue,Platformer,,511.0,Digital only,,nan,0,0,http://www.3davenue.net/spectrum/
4538,12888,Speed 3: Grand Prix,,,,Lion Castle Entertainment,"Automobile, Arcade Racing",,NA,Digital only,,nan,0,0,
4539,12889,Speed 3: Grand Prix,,,,Lion Castle Entertainment,"Automobile, Arcade Racing",,NA,Digital only,,nan,0,0,
4540,11003,Speed 3: Grand Prix,"Lion Castle Entertainment, GS2 Games, Mindscape",2020.0,2020-11-10,Lion Castle Entertainment,"Automobile, Arcade Racing",,4730.88,Physical and Digital,,nan,0,0,https://gs2games.com/speed-3-grand-prix
4541,7498,Speed Brawl,Kongregate,2018.0,2018-09-18,Double Stallion,Beat 'em up,,1423.36,Digital only,,nan,0,0,http://speedbrawl.com/
4542,11711,Speed Limit,Chorus Worldwide Games,2021.0,2021-02-16,Gamechuck,Shoot 'em up,,146.0,Digital only,,nan,0,0,https://game-chuck.com/speed-limit/
